                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51596,                0.30694,                0.80717,                 0.9994,                      1,                  0.995,                0.91203,                0.44219,                0.25602,                0.78993,               0.067066,             0.00033267,             0.00033267
                      2,                0.51442,                0.30498,                0.80455,                 0.9999,                      1,                  0.995,                0.90544,                0.47609,                0.26961,                0.79367,               0.034059,             0.00065941,             0.00065941
                      3,                0.53172,                0.31847,                0.80919,                0.99987,                      1,                  0.995,                0.89893,                0.48529,                0.26642,                0.79567,              0.0010462,             0.00097955,             0.00097955
                      4,                0.53052,                0.31878,                0.80819,                0.99949,                      1,                  0.995,                0.90958,                0.45691,                0.25638,                0.79423,              0.0009703,              0.0009703,              0.0009703
                      5,                0.52542,                0.31754,                0.80777,                0.99997,                      1,                  0.995,                0.90168,                0.47143,                0.25842,                 0.7938,              0.0009703,              0.0009703,              0.0009703
                      6,                0.52372,                0.31423,                0.80824,                      1,                0.99988,                  0.995,                0.91569,                0.43865,                0.25517,                0.79277,              0.0009604,              0.0009604,              0.0009604
                      7,                0.52489,                0.30965,                0.80663,                0.99979,                      1,                  0.995,                0.91598,                0.42985,                0.24681,                0.79094,              0.0009505,              0.0009505,              0.0009505
                      8,                 0.5173,                0.30498,                 0.8069,                      1,                0.99978,                  0.995,                0.90359,                0.48232,                0.26168,                0.79495,              0.0009406,              0.0009406,              0.0009406
                      9,                0.51026,                0.30351,                0.80509,                0.99987,                      1,                  0.995,                0.91355,                0.44647,                0.24887,                0.79129,              0.0009307,              0.0009307,              0.0009307
                     10,                0.51285,                0.30219,                0.80556,                0.99992,                 0.9995,                  0.995,                0.91192,                0.44223,                0.25195,                 0.7909,              0.0009208,              0.0009208,              0.0009208
                     11,                0.50586,                0.30107,                0.80605,                0.99989,                      1,                  0.995,                0.92078,                0.42338,                0.23716,                0.78928,              0.0009109,              0.0009109,              0.0009109
                     12,                0.50742,                0.30106,                0.80463,                0.99988,                      1,                  0.995,                0.91646,                0.44617,                0.24218,                0.79109,               0.000901,               0.000901,               0.000901
                     13,                0.49634,                0.29309,                0.80551,                0.99986,                      1,                  0.995,                0.91308,                0.44195,                0.24406,                0.79004,              0.0008911,              0.0008911,              0.0008911
                     14,                0.50306,                0.29481,                 0.8044,                      1,                0.99987,                  0.995,                0.91099,                0.45132,                 0.2457,                0.78992,              0.0008812,              0.0008812,              0.0008812
                     15,                0.49987,                0.29286,                0.80332,                0.99996,                      1,                  0.995,                0.91689,                0.44006,                0.23766,                0.78913,              0.0008713,              0.0008713,              0.0008713
                     16,                0.50849,                0.29619,                 0.8047,                      1,                0.99989,                  0.995,                0.92303,                0.42483,                0.22979,                0.78918,              0.0008614,              0.0008614,              0.0008614
                     17,                0.49983,                0.29048,                0.80511,                      1,                0.99993,                  0.995,                0.92151,                0.42186,                0.23168,                0.78747,              0.0008515,              0.0008515,              0.0008515
                     18,                0.49911,                0.28897,                0.80475,                 0.9995,                0.99991,                  0.995,                0.91677,                0.44585,                0.23981,                 0.7908,              0.0008416,              0.0008416,              0.0008416
                     19,                0.49557,                0.28858,                0.80453,                0.99993,                      1,                  0.995,                0.92308,                0.41751,                 0.2277,                0.78662,              0.0008317,              0.0008317,              0.0008317
                     20,                0.49449,                0.28619,                0.80387,                0.99945,                      1,                  0.995,                  0.914,                0.44822,                 0.2348,                0.79033,              0.0008218,              0.0008218,              0.0008218
                     21,                 0.4911,                0.28508,                 0.8007,                  0.999,                0.99986,                  0.995,                0.91778,                0.42628,                0.23155,                0.78736,              0.0008119,              0.0008119,              0.0008119
                     22,                0.49086,                0.28369,                0.80286,                0.99999,                 0.9995,                  0.995,                0.91626,                0.43519,                0.22716,                0.78889,               0.000802,               0.000802,               0.000802
                     23,                0.48351,                 0.2793,                0.80199,                0.99936,                 0.9995,                  0.995,                0.91322,                0.44923,                0.23307,                0.79024,              0.0007921,              0.0007921,              0.0007921
                     24,                0.48395,                0.27824,                0.80065,                0.99933,                      1,                  0.995,                0.91655,                0.44134,                0.23379,                0.78945,              0.0007822,              0.0007822,              0.0007822
                     25,                0.48225,                0.27805,                0.80093,                 0.9999,                      1,                  0.995,                0.91916,                0.44177,                 0.2288,                0.78904,              0.0007723,              0.0007723,              0.0007723
                     26,                0.48253,                0.27688,                0.80195,                0.99978,                      1,                  0.995,                 0.9274,                0.40028,                0.21958,                0.78474,              0.0007624,              0.0007624,              0.0007624
                     27,                  0.477,                0.27412,                0.80121,                0.99991,                      1,                  0.995,                0.91163,                0.45175,                0.22721,                0.78781,              0.0007525,              0.0007525,              0.0007525
                     28,                0.47936,                0.27227,                0.80387,                      1,                0.99994,                  0.995,                0.92329,                0.41967,                0.21621,                0.78658,              0.0007426,              0.0007426,              0.0007426
                     29,                0.47716,                0.27158,                 0.8014,                0.99991,                  0.999,                  0.995,                0.92915,                  0.402,                0.21084,                0.78345,              0.0007327,              0.0007327,              0.0007327
                     30,                 0.4729,                0.27055,                0.79802,                0.99984,                      1,                  0.995,                 0.9261,                0.40511,                0.21289,                0.78516,              0.0007228,              0.0007228,              0.0007228
                     31,                0.47123,                0.26933,                0.80125,                0.99897,                      1,                  0.995,                0.93251,                0.38476,                0.20757,                0.78334,              0.0007129,              0.0007129,              0.0007129
                     32,                 0.4706,                0.26845,                 0.7992,                 0.9999,                 0.9995,                  0.995,                0.93463,                0.38818,                0.20656,                0.78257,               0.000703,               0.000703,               0.000703
                     33,                0.47218,                  0.268,                0.79795,                      1,                0.99988,                  0.995,                0.93284,                 0.3908,                0.20731,                0.78303,              0.0006931,              0.0006931,              0.0006931
                     34,                0.46501,                0.26318,                0.79923,                0.99992,                      1,                  0.995,                0.93098,                0.39531,                0.20688,                0.78361,              0.0006832,              0.0006832,              0.0006832
                     35,                0.46731,                 0.2641,                0.79941,                0.99978,                      1,                  0.995,                0.92993,                0.38665,                0.20619,                0.78258,              0.0006733,              0.0006733,              0.0006733
                     36,                0.46502,                0.26336,                0.79767,                0.99996,                      1,                  0.995,                0.93106,                0.39502,                0.20236,                0.78241,              0.0006634,              0.0006634,              0.0006634
                     37,                0.46157,                0.25955,                0.79792,                0.99938,                      1,                  0.995,                0.93442,                0.38457,                0.20225,                0.78199,              0.0006535,              0.0006535,              0.0006535
                     38,                 0.4614,                0.26115,                0.79946,                      1,                0.99993,                  0.995,                0.93117,                0.39662,                0.20744,                0.78328,              0.0006436,              0.0006436,              0.0006436
                     39,                0.46123,                0.25781,                0.79827,                      1,                0.99996,                  0.995,                0.93227,                 0.3885,                0.19816,                0.78265,              0.0006337,              0.0006337,              0.0006337
                     40,                 0.4597,                 0.2571,                0.79684,                 0.9999,                      1,                  0.995,                0.93451,                0.38201,                0.19866,                0.78181,              0.0006238,              0.0006238,              0.0006238
                     41,                0.45996,                0.25915,                0.79752,                      1,                0.99999,                  0.995,                0.93317,                0.38797,                0.20185,                0.78269,              0.0006139,              0.0006139,              0.0006139
                     42,                0.46169,                0.25824,                0.79908,                0.99991,                      1,                  0.995,                0.93641,                0.38019,                0.19825,                0.78187,               0.000604,               0.000604,               0.000604
                     43,                0.45673,                0.25543,                0.79899,                0.99995,                      1,                  0.995,                0.93177,                0.39054,                0.19866,                0.78237,              0.0005941,              0.0005941,              0.0005941
                     44,                0.45373,                0.25304,                0.79769,                0.99995,                      1,                  0.995,                0.92691,                0.40638,                0.20126,                0.78327,              0.0005842,              0.0005842,              0.0005842
                     45,                0.45232,                0.25241,                 0.7984,                0.99996,                      1,                  0.995,                0.93371,                0.38275,                0.19661,                0.78113,              0.0005743,              0.0005743,              0.0005743
                     46,                0.45005,                0.25194,                0.79641,                0.99995,                      1,                  0.995,                0.93233,                0.39122,                0.19973,                0.78222,              0.0005644,              0.0005644,              0.0005644
                     47,                0.45294,                0.25462,                0.79582,                0.99993,                      1,                  0.995,                0.93284,                0.39511,                0.19855,                0.78236,              0.0005545,              0.0005545,              0.0005545
                     48,                0.45063,                0.25214,                0.79605,                0.99991,                      1,                  0.995,                0.93508,                0.37615,                 0.1934,                 0.7809,              0.0005446,              0.0005446,              0.0005446
                     49,                0.45148,                0.25011,                0.79972,                 0.9999,                      1,                  0.995,                0.92927,                 0.4005,                0.19739,                  0.783,              0.0005347,              0.0005347,              0.0005347
                     50,                0.44466,                 0.2493,                0.79564,                0.99992,                      1,                  0.995,                0.93421,                0.38285,                0.19449,                0.78106,              0.0005248,              0.0005248,              0.0005248
                     51,                0.45112,                0.24989,                0.79875,                0.99996,                      1,                  0.995,                0.93308,                0.39917,                0.19631,                0.78288,              0.0005149,              0.0005149,              0.0005149
                     52,                0.44243,                 0.2472,                 0.7948,                0.99985,                      1,                  0.995,                0.93479,                0.38676,                0.19341,                 0.7814,               0.000505,               0.000505,               0.000505
                     53,                0.44463,                0.24616,                0.79458,                0.99997,                      1,                  0.995,                0.93882,                0.37444,                0.19205,                0.78029,              0.0004951,              0.0004951,              0.0004951
                     54,                0.44444,                0.24669,                0.79564,                0.99992,                      1,                  0.995,                0.93417,                0.38664,                0.19412,                0.78122,              0.0004852,              0.0004852,              0.0004852
                     55,                0.44391,                 0.2456,                0.79623,                0.99987,                      1,                  0.995,                0.93304,                0.39258,                0.19464,                0.78139,              0.0004753,              0.0004753,              0.0004753
                     56,                0.44081,                0.24414,                0.79565,                      1,                0.99993,                  0.995,                0.93678,                 0.3762,                0.19079,                0.78024,              0.0004654,              0.0004654,              0.0004654
                     57,                0.44239,                 0.2436,                0.79396,                0.99999,                      1,                  0.995,                0.93665,                0.38505,                0.19119,                 0.7812,              0.0004555,              0.0004555,              0.0004555
                     58,                0.43687,                0.24206,                0.79577,                      1,                0.99994,                  0.995,                0.93734,                0.38504,                0.19043,                0.78137,              0.0004456,              0.0004456,              0.0004456
                     59,                0.43633,                0.24135,                0.79412,                      1,                0.99996,                  0.995,                 0.9327,                0.39157,                0.19227,                0.78223,              0.0004357,              0.0004357,              0.0004357
                     60,                0.43595,                 0.2415,                0.79459,                0.99941,                      1,                  0.995,                0.93699,                 0.3801,                0.18954,                0.78085,              0.0004258,              0.0004258,              0.0004258
                     61,                0.43705,                0.23874,                0.79579,                      1,                0.99978,                  0.995,                0.93673,                 0.3854,                0.19053,                0.78089,              0.0004159,              0.0004159,              0.0004159
                     62,                0.43355,                0.23847,                0.79403,                0.99938,                      1,                  0.995,                 0.9339,                0.38953,                0.19142,                0.78147,               0.000406,               0.000406,               0.000406
                     63,                0.43525,                0.23819,                0.79529,                0.99941,                      1,                  0.995,                0.92968,                0.40276,                0.19314,                 0.7829,              0.0003961,              0.0003961,              0.0003961
                     64,                0.43394,                 0.2376,                0.79334,                0.99998,                      1,                  0.995,                0.93395,                0.39102,                0.19079,                0.78141,              0.0003862,              0.0003862,              0.0003862
                     65,                0.43278,                0.23678,                0.79459,                0.99996,                      1,                  0.995,                0.93604,                0.38775,                0.19063,                0.78099,              0.0003763,              0.0003763,              0.0003763
                     66,                0.42931,                0.23721,                0.79484,                0.99991,                      1,                  0.995,                0.93731,                0.38382,                0.18863,                0.78039,              0.0003664,              0.0003664,              0.0003664
                     67,                0.43247,                 0.2355,                0.79599,                0.99986,                      1,                  0.995,                0.93676,                0.38707,                0.19058,                0.78121,              0.0003565,              0.0003565,              0.0003565
                     68,                0.42707,                0.23394,                0.79386,                0.99988,                      1,                  0.995,                0.93605,                0.38779,                0.19052,                0.78115,              0.0003466,              0.0003466,              0.0003466
                     69,                0.43164,                0.23401,                0.79507,                0.99988,                      1,                  0.995,                0.93427,                0.39073,                0.18932,                0.78126,              0.0003367,              0.0003367,              0.0003367
                     70,                0.43107,                0.23431,                0.79328,                0.99994,                      1,                  0.995,                0.93087,                0.40249,                 0.1922,                0.78269,              0.0003268,              0.0003268,              0.0003268
                     71,                0.42701,                0.23201,                0.79337,                0.99993,                      1,                  0.995,                0.93254,                0.39385,                0.18994,                0.78174,              0.0003169,              0.0003169,              0.0003169
                     72,                0.42776,                0.23322,                0.79316,                0.99992,                      1,                  0.995,                0.93424,                0.39103,                0.19017,                0.78156,               0.000307,               0.000307,               0.000307
                     73,                0.42538,                0.23114,                0.79425,                0.99991,                      1,                  0.995,                0.93395,                0.38934,                0.18791,                0.78142,              0.0002971,              0.0002971,              0.0002971
                     74,                0.42849,                0.23207,                0.79523,                0.99989,                      1,                  0.995,                0.93793,                0.38164,                0.18447,                0.78049,              0.0002872,              0.0002872,              0.0002872
                     75,                0.42519,                0.23089,                0.79328,                0.99986,                      1,                  0.995,                0.93661,                0.38177,                0.18551,                0.78022,              0.0002773,              0.0002773,              0.0002773
                     76,                 0.4256,                0.22905,                0.79442,                      1,                0.99998,                  0.995,                0.93699,                0.38125,                0.18604,                 0.7802,              0.0002674,              0.0002674,              0.0002674
                     77,                0.42478,                0.22799,                0.79309,                0.99989,                      1,                  0.995,                0.93584,                0.38284,                0.18543,                0.78009,              0.0002575,              0.0002575,              0.0002575
                     78,                0.42149,                0.22661,                 0.7937,                0.99984,                      1,                  0.995,                 0.9367,                0.38461,                 0.1859,                0.78028,              0.0002476,              0.0002476,              0.0002476
                     79,                 0.4194,                0.22749,                0.79172,                      1,                0.99984,                  0.995,                0.93639,                0.38432,                0.18544,                0.78032,              0.0002377,              0.0002377,              0.0002377
