                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6209,                 4.3846,                 1.6444,                0.02326,                 0.4285,                0.02577,                0.01721,                 1.0946,                 3.6722,                 1.1867,               0.067162,              0.0003317,              0.0003317
                      2,                 1.1364,                 3.5428,                 1.2428,                0.69847,                0.12775,                0.06296,                0.04331,                 1.0869,                 2.8821,                 1.2676,               0.034155,             0.00065845,             0.00065845
                      3,                 1.1167,                 2.9162,                 1.2465,                0.73134,                0.22812,                0.15975,                0.10887,                 1.0755,                 2.3434,                 1.3874,               0.001142,              0.0009786,              0.0009786
                      4,                 1.1065,                 2.4194,                 1.2593,                0.79975,                0.26885,                0.25103,                0.17238,                 1.1066,                 1.9347,                 1.4403,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0841,                 2.0553,                  1.259,                0.80416,                0.32036,                0.37164,                0.26342,                 1.0672,                 1.5429,                 1.4313,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.0723,                 1.8347,                 1.2583,                0.62682,                0.45399,                0.46279,                0.32696,                 1.0723,                 1.3586,                 1.4366,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.0512,                 1.6717,                 1.2441,                0.55106,                0.56281,                0.54014,                0.38095,                  1.093,                 1.2159,                 1.4332,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.0432,                 1.5514,                 1.2366,                0.59902,                0.61848,                0.60008,                0.42803,                 1.0677,                 1.1226,                 1.4256,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.0338,                 1.4724,                  1.228,                0.61572,                0.68815,                0.70208,                0.49819,                 1.0806,                 1.0493,                 1.4289,              0.0009307,              0.0009307,              0.0009307
                     10,                  1.034,                 1.4248,                 1.2274,                0.66807,                0.69946,                0.75013,                0.53949,                  1.038,                0.99524,                 1.3919,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.0259,                 1.3573,                 1.2166,                0.81093,                 0.6657,                0.77314,                 0.5509,                 1.0891,                0.96189,                 1.4247,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.0148,                 1.3016,                 1.2164,                0.78136,                 0.7114,                 0.7947,                0.56974,                 1.0695,                0.91354,                 1.4218,               0.000901,               0.000901,               0.000901
                     13,                 1.0186,                 1.2599,                 1.2181,                0.75391,                0.75868,                0.80347,                0.57418,                 1.0791,                  0.874,                 1.4156,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.0081,                 1.2228,                 1.2094,                0.77835,                 0.7704,                0.80903,                0.58038,                 1.0686,                0.85084,                 1.4223,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.0057,                 1.1861,                 1.2032,                0.81288,                0.76419,                 0.8377,                0.60607,                 1.0448,                0.81447,                 1.4024,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0032,                 1.1587,                 1.2052,                0.84009,                0.79212,                0.85623,                0.61936,                 1.0468,                0.81213,                 1.4076,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.0023,                 1.1368,                 1.2024,                0.86192,                 0.8076,                0.86433,                0.62524,                  1.042,                0.79726,                 1.3983,              0.0008515,              0.0008515,              0.0008515
                     18,                0.99886,                 1.1131,                 1.2016,                0.88152,                0.78531,                0.86611,                0.62272,                 1.0687,                 0.7965,                 1.4152,              0.0008416,              0.0008416,              0.0008416
                     19,                0.99664,                 1.1003,                 1.1976,                0.90081,                0.82022,                0.88451,                 0.6365,                 1.0669,                0.77705,                 1.4102,              0.0008317,              0.0008317,              0.0008317
                     20,                0.99782,                  1.079,                 1.2018,                0.87983,                0.82904,                0.88612,                0.63859,                 1.0582,                0.79885,                 1.3998,              0.0008218,              0.0008218,              0.0008218
                     21,                 0.9921,                 1.0881,                 1.1985,                0.88766,                0.83655,                0.89351,                0.63881,                 1.0636,                0.77274,                 1.4106,              0.0008119,              0.0008119,              0.0008119
                     22,                0.98699,                 1.0495,                 1.1977,                0.89438,                0.82851,                0.89298,                0.64241,                  1.051,                0.76562,                 1.3964,               0.000802,               0.000802,               0.000802
                     23,                0.98496,                  1.039,                  1.194,                 0.8934,                 0.8356,                0.88688,                0.63671,                 1.0637,                0.75187,                 1.4082,              0.0007921,              0.0007921,              0.0007921
                     24,                0.98146,                 1.0249,                 1.1935,                 0.8921,                  0.813,                0.88906,                0.63973,                 1.0655,                0.73349,                 1.4125,              0.0007822,              0.0007822,              0.0007822
                     25,                0.98516,                 1.0125,                 1.1905,                 0.8987,                0.82214,                0.89628,                0.64284,                 1.0623,                0.74438,                 1.4079,              0.0007723,              0.0007723,              0.0007723
                     26,                0.98093,                 1.0114,                 1.1924,                0.90904,                0.81561,                0.89434,                0.64655,                 1.0517,                0.73498,                 1.3966,              0.0007624,              0.0007624,              0.0007624
                     27,                0.98357,                 1.0054,                 1.1902,                0.88529,                0.83448,                0.89266,                0.64373,                 1.0532,                0.72373,                 1.4051,              0.0007525,              0.0007525,              0.0007525
                     28,                0.97315,                0.98391,                 1.1888,                0.91553,                0.81995,                0.90072,                0.65056,                 1.0521,                0.71667,                 1.4024,              0.0007426,              0.0007426,              0.0007426
                     29,                0.97089,                0.96768,                 1.1826,                0.90297,                0.83491,                0.90297,                0.65066,                 1.0584,                 0.7052,                 1.3982,              0.0007327,              0.0007327,              0.0007327
                     30,                0.97191,                0.96615,                 1.1882,                0.92101,                0.84841,                0.91079,                0.65431,                   1.06,                0.69558,                 1.4122,              0.0007228,              0.0007228,              0.0007228
                     31,                0.97067,                0.96682,                 1.1842,                0.88548,                0.83962,                0.90719,                 0.6542,                 1.0548,                0.69964,                 1.4067,              0.0007129,              0.0007129,              0.0007129
                     32,                0.97026,                0.95421,                 1.1856,                0.92378,                0.83531,                0.91279,                0.65465,                  1.063,                0.69073,                 1.4132,               0.000703,               0.000703,               0.000703
                     33,                0.97088,                0.94237,                 1.1832,                0.90501,                0.85997,                0.91248,                0.64576,                 1.0847,                0.69891,                 1.4365,              0.0006931,              0.0006931,              0.0006931
                     34,                0.96957,                0.94043,                 1.1823,                0.90764,                0.86363,                0.90866,                0.65405,                 1.0567,                0.69902,                 1.4058,              0.0006832,              0.0006832,              0.0006832
                     35,                0.97438,                0.93181,                 1.1792,                0.93099,                0.84955,                0.91667,                0.65625,                 1.0685,                0.67908,                 1.4072,              0.0006733,              0.0006733,              0.0006733
                     36,                0.96983,                0.93255,                 1.1838,                0.89958,                0.86281,                0.91107,                0.64951,                 1.0695,                0.68815,                 1.4185,              0.0006634,              0.0006634,              0.0006634
                     37,                0.97317,                 0.9256,                 1.1846,                0.89921,                0.85709,                0.91673,                0.65457,                 1.0717,                0.68196,                 1.4338,              0.0006535,              0.0006535,              0.0006535
                     38,                0.95723,                0.90863,                 1.1749,                0.89474,                0.87184,                0.91213,                0.65273,                 1.0634,                 0.6661,                 1.4276,              0.0006436,              0.0006436,              0.0006436
                     39,                0.96731,                0.90697,                 1.1814,                0.92401,                0.84369,                0.91757,                0.65697,                  1.058,                0.67825,                 1.4133,              0.0006337,              0.0006337,              0.0006337
                     40,                0.96236,                0.91295,                 1.1783,                0.93326,                0.83125,                0.92038,                0.65447,                 1.0769,                0.67636,                 1.4444,              0.0006238,              0.0006238,              0.0006238
                     41,                0.96364,                0.89887,                 1.1798,                0.92045,                0.85159,                0.92319,                0.66301,                 1.0539,                0.66083,                 1.4072,              0.0006139,              0.0006139,              0.0006139
                     42,                0.96018,                0.90982,                 1.1801,                0.92267,                0.86677,                 0.9202,                0.65793,                 1.0541,                0.66474,                 1.4207,               0.000604,               0.000604,               0.000604
                     43,                0.96276,                0.89323,                 1.1779,                0.92324,                0.84921,                0.91739,                 0.6604,                 1.0491,                0.65759,                 1.4143,              0.0005941,              0.0005941,              0.0005941
                     44,                0.95863,                0.88609,                 1.1745,                0.94584,                0.83146,                0.92611,                0.66735,                 1.0513,                0.65622,                 1.4118,              0.0005842,              0.0005842,              0.0005842
                     45,                0.95949,                0.88643,                 1.1725,                0.89858,                0.85422,                0.91051,                0.64878,                 1.0745,                0.66212,                 1.4181,              0.0005743,              0.0005743,              0.0005743
                     46,                0.95271,                0.87978,                 1.1726,                0.91974,                 0.8586,                0.91822,                0.64779,                 1.0887,                0.65244,                 1.4465,              0.0005644,              0.0005644,              0.0005644
                     47,                0.95296,                0.87589,                 1.1733,                 0.9337,                0.84178,                0.92185,                0.65481,                 1.0709,                 0.6458,                 1.4314,              0.0005545,              0.0005545,              0.0005545
                     48,                0.95451,                0.88025,                 1.1739,                0.93446,                0.83668,                0.91771,                 0.6587,                 1.0584,                0.65872,                 1.4196,              0.0005446,              0.0005446,              0.0005446
                     49,                0.95276,                0.87241,                 1.1738,                0.92341,                0.85412,                0.92406,                 0.6593,                 1.0561,                0.64549,                 1.4286,              0.0005347,              0.0005347,              0.0005347
                     50,                0.95155,                 0.8643,                 1.1725,                0.90873,                0.85352,                0.92108,                0.65796,                 1.0683,                0.66958,                 1.4237,              0.0005248,              0.0005248,              0.0005248
                     51,                 0.9466,                0.85974,                 1.1691,                0.90765,                0.86647,                0.92523,                0.66298,                 1.0604,                0.64456,                 1.4167,              0.0005149,              0.0005149,              0.0005149
                     52,                0.94751,                0.85037,                  1.169,                0.93111,                0.86202,                0.92994,                 0.6651,                 1.0584,                0.64763,                 1.4115,               0.000505,               0.000505,               0.000505
                     53,                0.94909,                 0.8541,                 1.1658,                0.92901,                0.85591,                0.92268,                0.65816,                 1.0643,                0.64125,                 1.4178,              0.0004951,              0.0004951,              0.0004951
                     54,                0.94273,                0.85122,                 1.1656,                0.92118,                0.84639,                0.92039,                0.65738,                  1.073,                 0.6521,                 1.4276,              0.0004852,              0.0004852,              0.0004852
                     55,                0.95303,                0.85858,                 1.1719,                0.93137,                 0.8532,                0.93011,                0.65947,                 1.0806,                0.64228,                 1.4387,              0.0004753,              0.0004753,              0.0004753
                     56,                0.94188,                0.85283,                 1.1679,                0.89836,                  0.864,                0.92865,                0.66149,                 1.0733,                0.64067,                 1.4327,              0.0004654,              0.0004654,              0.0004654
                     57,                0.94587,                0.84409,                 1.1647,                0.93191,                0.84728,                0.92441,                 0.6567,                 1.0839,                0.64503,                 1.4374,              0.0004555,              0.0004555,              0.0004555
                     58,                0.94034,                  0.836,                  1.162,                0.93618,                0.85181,                0.92504,                0.66488,                 1.0597,                0.63246,                 1.4245,              0.0004456,              0.0004456,              0.0004456
                     59,                0.94097,                0.83391,                 1.1629,                 0.9351,                0.84373,                0.93013,                0.65764,                 1.0797,                0.63328,                 1.4451,              0.0004357,              0.0004357,              0.0004357
                     60,                0.94052,                0.83143,                 1.1648,                0.94037,                0.84359,                 0.9235,                0.65691,                 1.0748,                0.63408,                 1.4303,              0.0004258,              0.0004258,              0.0004258
                     61,                0.93947,                0.81962,                 1.1629,                 0.8976,                0.87744,                0.93238,                0.66831,                 1.0525,                0.62519,                 1.4137,              0.0004159,              0.0004159,              0.0004159
                     62,                0.93779,                0.83235,                 1.1633,                0.92676,                0.84571,                0.92562,                 0.6606,                  1.066,                0.62921,                 1.4227,               0.000406,               0.000406,               0.000406
                     63,                0.93781,                0.82439,                 1.1622,                0.92636,                0.85865,                 0.9232,                0.65907,                 1.0659,                0.63175,                 1.4259,              0.0003961,              0.0003961,              0.0003961
                     64,                0.93219,                0.81823,                 1.1613,                0.91973,                0.86077,                0.92633,                0.65779,                 1.0707,                0.62769,                 1.4289,              0.0003862,              0.0003862,              0.0003862
                     65,                0.94382,                0.83249,                 1.1658,                0.91907,                0.85267,                0.92974,                0.66275,                  1.066,                 0.6238,                 1.4305,              0.0003763,              0.0003763,              0.0003763
                     66,                0.93671,                 0.8193,                 1.1639,                0.94031,                0.83605,                0.92263,                0.65552,                 1.0725,                0.62479,                 1.4239,              0.0003664,              0.0003664,              0.0003664
                     67,                0.93067,                0.81544,                 1.1609,                0.93403,                0.83931,                0.92678,                 0.6535,                 1.0955,                0.63281,                 1.4439,              0.0003565,              0.0003565,              0.0003565
                     68,                0.93731,                0.82008,                 1.1595,                0.93373,                0.84905,                0.92558,                0.65955,                  1.069,                0.62617,                 1.4242,              0.0003466,              0.0003466,              0.0003466
                     69,                0.93819,                0.83004,                 1.1653,                0.91263,                0.87681,                0.92628,                0.65463,                 1.0751,                0.62491,                 1.4244,              0.0003367,              0.0003367,              0.0003367
                     70,                0.93133,                0.81476,                  1.159,                0.92555,                0.85998,                0.92316,                 0.6581,                   1.07,                0.62453,                 1.4283,              0.0003268,              0.0003268,              0.0003268
                     71,                0.93346,                0.81187,                 1.1606,                0.91638,                0.87077,                0.92334,                0.65986,                 1.0694,                0.62449,                  1.431,              0.0003169,              0.0003169,              0.0003169
                     72,                0.92997,                0.81041,                 1.1597,                0.93712,                0.85189,                0.92582,                0.66167,                 1.0645,                0.62328,                 1.4221,               0.000307,               0.000307,               0.000307
                     73,                0.93137,                0.80601,                 1.1549,                0.92615,                0.85946,                0.92832,                0.66219,                 1.0609,                0.61525,                 1.4272,              0.0002971,              0.0002971,              0.0002971
                     74,                0.92174,                0.79428,                   1.15,                0.90245,                0.87725,                0.92539,                0.65615,                 1.0824,                0.62206,                 1.4417,              0.0002872,              0.0002872,              0.0002872
                     75,                0.91984,                0.79983,                 1.1526,                 0.9169,                0.87818,                0.93189,                0.66673,                 1.0666,                0.61157,                 1.4287,              0.0002773,              0.0002773,              0.0002773
                     76,                0.92115,                0.80343,                 1.1531,                0.90897,                0.89005,                0.92984,                0.66113,                 1.0694,                0.60728,                 1.4298,              0.0002674,              0.0002674,              0.0002674
                     77,                0.92155,                0.79225,                 1.1541,                0.93474,                0.85546,                 0.9264,                0.65854,                 1.0727,                0.61364,                 1.4357,              0.0002575,              0.0002575,              0.0002575
                     78,                 0.9199,                0.78781,                  1.152,                0.92043,                 0.8774,                0.92796,                 0.6618,                  1.073,                 0.6093,                 1.4322,              0.0002476,              0.0002476,              0.0002476
                     79,                0.92716,                0.79627,                 1.1577,                0.91734,                 0.8675,                0.92783,                0.66135,                 1.0645,                0.61222,                 1.4272,              0.0002377,              0.0002377,              0.0002377
                     80,                0.92037,                0.79163,                 1.1576,                0.90275,                0.88153,                0.92956,                0.66127,                 1.0653,                0.61394,                 1.4346,              0.0002278,              0.0002278,              0.0002278
                     81,                0.91814,                0.78266,                 1.1471,                0.90598,                0.88306,                0.92762,                0.66068,                 1.0667,                0.60976,                 1.4326,              0.0002179,              0.0002179,              0.0002179
                     82,                0.92407,                0.79922,                 1.1499,                 0.9048,                0.87425,                0.92652,                0.65788,                 1.0754,                0.60723,                 1.4353,               0.000208,               0.000208,               0.000208
                     83,                0.92255,                0.79022,                 1.1529,                0.90958,                0.88081,                0.92512,                0.65759,                 1.0783,                0.61122,                 1.4467,              0.0001981,              0.0001981,              0.0001981
                     84,                0.92293,                0.79341,                  1.155,                0.92213,                 0.8672,                0.92834,                 0.6564,                 1.0838,                0.61152,                 1.4465,              0.0001882,              0.0001882,              0.0001882
                     85,                0.92135,                0.79307,                  1.152,                0.91357,                0.88296,                0.93038,                0.66253,                 1.0715,                0.60699,                 1.4393,              0.0001783,              0.0001783,              0.0001783
                     86,                0.91636,                0.78127,                 1.1502,                0.89863,                0.88735,                0.92523,                0.65691,                  1.082,                0.61343,                 1.4403,              0.0001684,              0.0001684,              0.0001684
                     87,                0.91576,                0.78289,                 1.1473,                0.90584,                 0.8775,                0.92769,                 0.6603,                 1.0733,                0.60729,                 1.4419,              0.0001585,              0.0001585,              0.0001585
                     88,                  0.916,                0.78016,                 1.1471,                0.90154,                0.88321,                0.92696,                 0.6585,                 1.0744,                0.60954,                 1.4422,              0.0001486,              0.0001486,              0.0001486
                     89,                 0.9109,                0.77521,                  1.147,                0.90865,                0.87511,                0.93221,                0.66149,                 1.0738,                0.60631,                 1.4334,              0.0001387,              0.0001387,              0.0001387
                     90,                0.91006,                 0.7781,                 1.1457,                0.92771,                0.86811,                0.93096,                 0.6592,                 1.0822,                0.60789,                 1.4396,              0.0001288,              0.0001288,              0.0001288
                     91,                0.88307,                0.68432,                  1.218,                0.91779,                 0.8648,                0.91969,                0.65245,                 1.0813,                0.63098,                 1.4443,              0.0001189,              0.0001189,              0.0001189
                     92,                0.87784,                0.66532,                 1.2078,                0.92215,                0.85321,                0.92143,                0.65206,                  1.089,                0.62834,                 1.4467,               0.000109,               0.000109,               0.000109
                     93,                0.87346,                0.66016,                 1.2062,                0.92073,                0.86348,                0.92187,                0.65293,                 1.0795,                0.62377,                 1.4401,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.86894,                0.65196,                 1.2046,                0.92612,                0.86383,                0.92392,                0.65734,                 1.0711,                0.61851,                 1.4333,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.86859,                0.64645,                 1.2044,                0.91945,                0.87036,                0.92545,                0.65935,                 1.0705,                0.61556,                 1.4371,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.86645,                0.64846,                 1.2011,                0.90405,                0.87307,                0.92368,                0.65459,                 1.0808,                 0.6209,                 1.4385,               6.94e-05,               6.94e-05,               6.94e-05
