                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94416,                 1.5778,                0.95232,                 0.9809,                0.94559,                0.98037,                0.77878,                 0.7694,                0.64822,                0.91749,               0.067054,             0.00033278,             0.00033278
                      2,                0.79821,                0.64876,                0.89426,                0.97949,                0.97713,                 0.9925,                0.79521,                0.76707,                0.52412,                0.89592,               0.034048,             0.00065952,             0.00065952
                      3,                0.75827,                0.55175,                0.88018,                0.98637,                0.98159,                0.99077,                0.78807,                0.77696,                0.48073,                0.88576,              0.0010346,             0.00097966,             0.00097966
                      4,                0.72775,                0.50418,                 0.8678,                0.98566,                0.98433,                0.99338,                0.81882,                   0.71,                0.42607,                0.86776,              0.0009703,              0.0009703,              0.0009703
                      5,                0.70391,                0.47451,                0.86413,                 0.9875,                0.98854,                0.99367,                0.82541,                0.65116,                0.39888,                  0.858,              0.0009703,              0.0009703,              0.0009703
                      6,                0.68843,                 0.4512,                0.85724,                0.98677,                 0.9865,                 0.9908,                0.82593,                0.64736,                0.40951,                0.85704,              0.0009604,              0.0009604,              0.0009604
                      7,                0.67274,                0.42899,                0.85518,                0.99142,                0.99229,                0.99418,                0.85114,                   0.58,                0.36375,                0.84617,              0.0009505,              0.0009505,              0.0009505
                      8,                0.65879,                0.41729,                0.85105,                0.99057,                 0.9884,                0.99453,                 0.8553,                0.59306,                0.34633,                0.84713,              0.0009406,              0.0009406,              0.0009406
                      9,                0.65167,                0.40567,                0.85175,                0.99432,                0.98854,                0.99458,                0.84931,                0.61766,                0.35411,                  0.851,              0.0009307,              0.0009307,              0.0009307
                     10,                0.64121,                0.39862,                0.84966,                0.99171,                0.99264,                0.99468,                0.86293,                0.56091,                0.33474,                0.84375,              0.0009208,              0.0009208,              0.0009208
                     11,                0.63675,                0.38856,                0.84768,                0.99345,                0.99289,                0.99471,                0.87074,                 0.5436,                 0.3176,                0.83448,              0.0009109,              0.0009109,              0.0009109
                     12,                 0.6325,                0.38115,                0.84546,                0.98963,                0.99427,                0.99384,                0.86722,                0.55634,                0.32414,                0.84071,               0.000901,               0.000901,               0.000901
                     13,                0.63022,                0.37821,                0.84641,                0.98592,                0.99427,                0.99431,                0.87002,                0.57396,                0.31625,                0.84657,              0.0008911,              0.0008911,              0.0008911
                     14,                0.61979,                0.37023,                0.84214,                0.98903,                0.99626,                0.99356,                0.87683,                0.54532,                 0.3137,                0.83916,              0.0008812,              0.0008812,              0.0008812
                     15,                 0.6157,                0.36659,                0.84372,                0.99419,                0.99059,                0.99446,                0.86284,                0.57229,                0.31213,                0.84042,              0.0008713,              0.0008713,              0.0008713
                     16,                0.60899,                0.36009,                0.84154,                0.99387,                0.99471,                0.99484,                0.87562,                0.53401,                0.30366,                 0.8358,              0.0008614,              0.0008614,              0.0008614
                     17,                0.60817,                0.35725,                 0.8397,                0.99305,                0.99399,                0.99487,                0.87725,                0.52952,                0.29645,                0.83379,              0.0008515,              0.0008515,              0.0008515
                     18,                0.60641,                0.35447,                0.84151,                 0.9883,                0.99714,                0.99454,                0.86057,                0.56778,                0.30534,                0.83918,              0.0008416,              0.0008416,              0.0008416
                     19,                0.60113,                 0.3502,                0.84025,                0.99338,                0.99591,                0.99452,                0.88038,                0.54529,                 0.2932,                0.83959,              0.0008317,              0.0008317,              0.0008317
                     20,                0.59858,                0.34522,                0.84018,                0.99121,                0.99386,                0.99473,                0.87161,                0.54646,                0.29261,                0.83392,              0.0008218,              0.0008218,              0.0008218
                     21,                0.59259,                0.34563,                 0.8386,                0.99148,                0.99386,                0.99455,                0.88529,                0.53101,                0.29036,                  0.833,              0.0008119,              0.0008119,              0.0008119
                     22,                0.58743,                0.34089,                0.83742,                0.99304,                0.99345,                 0.9946,                0.88573,                0.52894,                0.28824,                0.83649,               0.000802,               0.000802,               0.000802
                     23,                0.58744,                0.33873,                 0.8337,                0.99308,                0.99427,                0.99426,                0.88454,                0.52433,                0.28244,                  0.835,              0.0007921,              0.0007921,              0.0007921
                     24,                0.58803,                0.33785,                0.83492,                0.99296,                0.99632,                0.99443,                0.89485,                0.51562,                0.27533,                0.83257,              0.0007822,              0.0007822,              0.0007822
